X,Y,gid,Name
26.3708202513443,0.273157633374885,1,África Central,
-75.5403911756657,13.278615849332,2,América Central
-62.6712287005088,-36.048480617487,3,Argentina y Uruguay
133.5808639466,-27.2827045653821,4,Australia
-50.2009205602868,-14.0510099143829,5,Brasil
-100.111670977278,57.495606290307,6,Canadá
99.0217563442807,35.882775347247,7,China y Mongolia
143.659949058215,43.7374588822825,8,Corea y Japón
-98.9576549400525,36.656764264816,9,EEUU
19.9470888194176,66.2423972240993,10,EUN
70.2666805204845,33.172257163836,11,Eurasia central
28.0672008594867,47.3809027973533,12,EUSE
6.38724317444996,47.380901569639,13,EUW
4.68076208426217,24.2114840633779,14,Norte de África
109.811717892163,8.96404991590043,15,Oceanía
43.5040273659265,24.6200501275166,16,Oriente Medio
-153.933891028622,67.0287269659878,17,Polo norte americano
84.254012824496,65.7628137196536,18,Rusia central
130.472328316098,73.1327479133034,19,Rusia oriental
31.1786987256072,-20.4496286799714,20,Sudáfrica
-70.6862773644361,-28.4562096773304,21,Sudamérica
